,title
477, 3년만에 민생활체육대축전 개최
478,"""흰 구두 신어서…"" 일상 대화 속 위험 알아챈 경찰청 정주희 경위"
479, 신천 고품격 수변공원으로 조성
480,9월  분양·입주장 냉랭…가을 성수기 무색
481,‧경북 각 1천명대 신규 확진…사망자 11명 늘어(종합)
482,3파전 확장?.. 군부대 유치전 '가열'
483,[청라언덕] 흠뻑쇼와 스타디움
484,·경북 대체로 맑음···내륙 일교차 커
485,제14회 구례전국여자 대학장사씨름대회서 우승한 대학교
486,동산병원 찾은 안철수 의원
487, 수성구 청년축제 성료
488, 24~25일까지 '2022 스트리트모터페스티벌' 개최
489, 군부대 통합 이전따라 경북 4곳 ‘유치 경쟁’ 치열
490,동산병원 찾은 안철수 의원
491, 수성구 청년축제 성료
492, 24~25일까지 '2022 스트리트모터페스티벌' 개최
493, 군부대 통합 이전따라 경북 4곳 ‘유치 경쟁’ 치열
494,'식품 트렌드를 한 눈에'.. 국제식품산업전 개최
495,지검 '불법 외화 송금' 서울 우리은행 본점 압수수색
496,"""경력단절 및 미취업 여성 취업상담 합니다"""
497,"홍준표·안철수 서 회동…""당이 빨리 정상화돼야"""
498,정일균 의원  청년예술인 창작활동 기반 마련 조례안 발의
499,한국가스공사 농구단 와 연고지 협약...본격 비상 작
500,"홍준표·안철수 서 회동…""당이 빨리 정상화돼야"""
501,정일균 의원  청년예술인 창작활동 기반 마련 조례안 발의
502,한국가스공사 농구단 와 연고지 협약...본격 비상 작
503, 10味 알리는 트로트 곡 ‘의 맛’ 음원 발매...작곡가 김재곤 가수...
504,전국도교육감협의회 총회 22일 서 개최
505,·광주 청년들 ‘달빛교류’에서 하나로
506, 치안 ‘안심 홈세트’ 지원 확대…맞춤형 치안 서비스
507,행복진흥원 원장에 정순천 전 의원 내정
508,코나아이 개인택운송사업조합과 '택 앱미터기' 공급 계약 체결
509,한의대 경북교육청 교사 등 대상 한방 웰니스 직무체험 연수
510,한의대 경북교육청 교사 등 대상 한방 웰니스 직무체험 연수
511, 21일 1828명 신규 확진…1주일 새 절반 감소
512,10미(味) 알릴 K트롯 가요 '의 맛' 음원 출
513,-한국가스공사 프로농구단 연고지 협약 체결
514, 942명 코로나19 확진…사망자는 1명
515,진보성향 교육단체 서 대학서열체제 폐지 촉구
516,행복진흥원장 정순천 전 의원 내정
517,안철수 의원 홍준표 장과 환담
518,홍준표 장과 만난 안철수 의원
519,"이만규 의회 의장 ""·도의회 3급 직위 신설해야"""
520,행복진흥원장 정순천 전 의원 내정
521,안철수 의원 홍준표 장과 환담
522,홍준표 장과 만난 안철수 의원
523,"이만규 의회 의장 ""·도의회 3급 직위 신설해야"""
524,서 음주운전 차량 영업중 음식점 돌진…7명 부상
525,정순천 10월 출범 앞둔 행복진흥원 초대 원장 내정
526,경북 농산물 가공업체들 국제식품산업전서 소비자 취향 맞춤 제품 선봬
527, 70세 이상 내년 6월부터 버스 무료
528,운문댐·가창댐 저수율 회복··· 일부 지역 수계 원래대로 환원
529,"인권단체 "" 인권위원회 폐지 철회해야"""
530,정순천 10월 출범 앞둔 행복진흥원 초대 원장 내정
531,경북 농산물 가공업체들 국제식품산업전서 소비자 취향 맞춤 제품 선봬
532, 70세 이상 내년 6월부터 버스 무료
533,운문댐·가창댐 저수율 회복··· 일부 지역 수계 원래대로 환원
534,홍준표 장과 만난 안철수 의원
535,"인권단체 "" 인권위원회 폐지 철회해야"""
536,10미(味) 트롯 가수 김나희… '의 맛'으로 알려
537,8월 ·경북 섬유수출 2억3730만 달러…1년 만에 최저
538,"홍준표 "" 군부대 이전 관·군 협의체 추진"""
539,가을철 야외활동↑…지역 롯데백화점 고객몰이 나서
540,태풍 '난마돌' ·경북 큰 피해 없었다(종합)
541, 민주노총 하반기 투쟁 선포
542,잇따른 '온라인 직거래 사기' 경북서 5년간 5만956건 발생
543, 두류역 초역세권에 초고층 ‘마천루’ 아파트
544,‘인천·세종’ 투기과열지구 해제…부산 해운대‧ 수성 포함 지방 부동산...
545, 민 워라밸 위한 ‘ 워라밸주간’ 개최
546,의회 교통공사사장·공공설관리공단 이사장 인사청문회
547,국제식품산업전 달빛동맹 교류의 장으로
548, 김완섭 기획재정부 예산실장...수성알파티 등 현장 방문
549, 치안 강화할 안심 홈세트 확대 지원
550, 김완섭 기획재정부 예산실장...수성알파티 등 현장 방문
551, 치안 강화할 안심 홈세트 확대 지원
552, ‘골목상권 활성화 홍보콘텐츠’ 공모
553,인사말 하는 홍준표 장
554,교육청 장애학생 대학생활 적응 지원
555,한의대 평생교육원 건강상담 전문가 과정 교육생 모집
556,김진열 군위군수 주말 상주에서 임이자 경북도당위원장 만나  편입 문제...
557, 아파트 매매가 45주 연속 하락…전세가도 40주째 내림세
558, 대학생 학자금대출 부담 경감 지원
559, 동구 민안전테마파크 현장체험교육 실
560,금융노조 총파업에도  각 은행 점포 정상 영업
561, 자동차검사장서 한밤에 불…인명 피해 없어
562,문화예술진흥원장 '적임자 없음'…출범 전부터 삐걱
563,[ 경북] 경상북도 대기 건조한 날씨→산행  화재 예방
564, 고교 운동부서 성추행 등 학교폭력 신고…경찰 수사
565, 자치경찰위원회 세이프 홈지원 사업 확대
566,"홍준표 장 ""군 부대 이전 사업 공명정대하게 추진하겠다"""
567,  자동차부품기업 테크쇼 단독 개최
568,[단독] 홍준표 장·이창용 한국은행 총재 청서 '반짝 만남'…왜...
569,에서 제86회 전국도교육감협의회 총회 개최
570,김태우 의원 사회적 고립청년 지원에 관한 조례안 대표 발의
571, 행복진흥원 초대 원장에 정순천 전 의원 내정
572,영진사이버대 사회적기업협의회와 산업체위탁 교육협약
573,10미(味) 담은 트롯 ‘의 맛’ 음원 출 
574,출신 한국무용가 황윤지 '온나라 전통춤 경연' 총리상
575,[오늘의 날씨]·경북(21일수)…낮 최고 25도 대체로 맑아
576, 자동차검사소 화재...건물 전소
577,[동정] 최재훈  달성군수
578,동구청 민안전테마파크 현장체험교육 실
579,대법원 “ 북구청 ‘이슬람 사원’ 공사 중지는 부당”
580,한의대-지노인전문병원 업무협약 체결
581,제22회 국제식품산업전 개최
582,'일과 학습 병행 기여'…교육감 영남이공대에 감사패
583, 20일 신규확진 2132명 1주 전보다 60% 감소…사망 2명 추가
584,·한국가스공사프로농구단 연고지 협약 체결
585, 고교 운동부서 성추행 등 학교폭력 신고
586,교육청 장애학생 지역 대학생활 체험
587,지검 '수상한 외환거래' 관련 우리은행 본점 압수수색
588,·경북 싱크탱크 경북연구원 31년 만에 분리
589,인천서 혼자 걷는 여성만 노려… 40대 날치기범 서 붙잡혀
590, 중구청 '2022 스트리트모터페스티벌' 행사 개최
591,행복진흥원장에 정순천 전 의원 내정
592,제19회 국제오페라축제 개막작 '투란도트' 총연습
593,환경청 칠곡보·강정고령보 조류경보 ‘관심’ 발령
594,의회 행정사무감사 '민제보상황실' 운영
595,교육청 전국도교육감협의회 총회
596, 일제강점기 미공개 문화예술 자료 대거 발굴
597,서 만취한 여성 수입 승용차로 분식점 돌진…7명 부상
598,의회  산하기관장 후보 인사청문회
599,인문사회대학10기 입학식 개최
600,인문사회대학10기 입학식 개최
601, 민 눈높이 맞춤 스마트 수변공원 조성한다
602, 서구 달콤한 인문학 콘서트 개최
603, 이슬람사원 ‘공사 중지’ 취소소송 최종 승소… 법원 “위법한 행정”
604,홍준표 장 TK신공항 군부대 이전 연내 가화 추진
605,식품 트렌드 한 눈에···'제22회 국제식품산업전' 22일 개막
606,환경청 칠곡보와 강정고령보 조류경보 ‘관심’ 발령
607,·경북 코로나19 신규 확진자 일주일 전보다 1/3 감소
608,경실련 “민 원탁회의 조례 폐지 반대”
609,이만규 의회 의장 ·도의회 3급 직위 신설 제안
610,보건대 청소년 발명 아이디어 경진대회 '대상' 수상
611,교통공사 취약설 집중안전점검 실
612,오페라하우스 창작오페라 연구회 네 편의 창작오페라 선보여
613,[오늘의 날씨]·경북(22일목)…낮 최고 26도 내륙 일교차 10도 안팎
614, 초대 행복진흥원장에 정순천 씨 내정
615,K-트롯으로 ' 10味' 알린다
616,대학교 올 즌 단체전 2관왕 달성
617,행복진흥원 원장에 정순천 전 의원 내정
618, 북구 2022 금호강바람소리길축제 개최
619,의회 '김빠진' 인사청문회
620,의회 '김빠진' 인사청문회
621,2024년까지 물량 쏟아지는  부동산 장...현재 상황과 전망
622,GS건설  '대명자이 그랜드티' 10월 분양 예정
623,·경북에서 '신약개발 위한 연구회' 개최
624,경북우수업체 '국제식품산업전' 참가…공격적 마케팅 나서
625,[태풍 '난마돌'] 태풍 북상···오전 11  낮 12 포항 최근접
626,[공식 발표] '강원 파이널A 이끈' 김영빈 1부 33R MVP... 베스트 팀은 
627, 2612명 코로나19 신규 확진 사망 5명
628,보건대 보건행정학과 대학축제서 절주캠페인
629, 중구 '2022년 스트리트모터페스티벌' 개최
630,한의대 청소년 심성개발 위한 '동물교감 프로그램' 실
631,3산업단지공단 상설 채용박람회 추진…인력난 해소 앞장
632,한의대 지노인전문병원과 업무협약 체결
633,"참여연대 "" 설공단 이사장 적합 여부 검증해야"""
634,태풍 '난마돌' 초긴장… 오전 11·포항 낮 12 최근접
635,'2022 스트리트모터페스티벌' 열린다
636,에서 펼쳐질 오페라 향연 제19회 국제오페라축제
637, 롯데백화점 가을 즌 야외활동상품 강화
638,문기봉 공공설관리공단 이사장 후보 '도공 임원탈락 원인' 논란
639,우동기 가톨릭대 총장 퇴임…교학부총장이 직무대행
640,2022 교육청 직업교육 박람회 '특·마' 축제 20일 개최
641,'포차천국' 272호점 보건대점 가맹계약 체결
642, ‘ 자동차부품기업 테크쇼’ 단독으로 열어
643,'청년이여 로 욜로 온나!'
644,티웨이항공 외국인 대상 ' K-POP 콘서트' 티켓 제공
645, 신천 수변공원화 사업 추진…2030년까지 5890억 투자
646,철도부터 공항까지…교통특구의 중심 ‘ 두류 스타힐스’
647,바닥 보이던 운문댐 저수율 75%로... 상수원 수계 정상화
648,' 워라밸주간' 개최… 민 워라밸 문화 위한 축제
649,가구단지 가구탑 가을맞이 특별 가구 할인행사 열려
650, 만 70세 이상 어르신 이르면 내년 6월부터 버스 무료
651, 이슬람사원 건축 관련 소송 건축주 최종 승소
652,프로농구 한국가스공사 와 19일 연고 협약식
653,[테크코리아 우리가 이끈다]기계부품연구원
654, 동구청 '민안전테마파크 현장체험교육' 실
655, 자동차부품기업 테크쇼로 위기 극복
656,프로농구 한국가스공사 창단 1년 만에 와 연고 협약
657,경북업체 ‘국제식품산업전’ 참가 … SWEET SALTY DRINK’ 제품 우수...
658,의회 청년 예술인 창작활동 지원 추진
659, ‘2022 스트리트모터페스티벌’ 남산동 자동차부속골목서 24~25일...
660,장애인체육회 영유아 장애인체육 체험 프로그램 범운영
661,의회 행정사무감사 '민제보상황실' 운영한다
662, '대학생 학자금대출 부담경감 지원사업’ 추진
663," 칠성장 지하주차장 건립 무산위기… ""안전 우려"""
664,경북서 코로나19 관련 11명 추가 사망…누적 3천121명
665,국민의힘 당 '스마트 물산업 육성' 정책토론회 개최
666,영진사이버대 사회적기업협의회와 산업체위탁 교육협약 체결
667,서 음주운전 승용차 분식점 돌진…7명 부상
668, 이슬람사원 '공사 중지 취소' 소송 최종 승소
669,의회 洪 장 부채상환 용도 기금 폐지 '보류'
670,의회 洪 장 부채상환 용도 기금 폐지 '보류'
671,'이재현 끝내기 홈런' 삼성 KT전 6연패 탈출 [ 리뷰]
672,"""일제강점기 아동문학·작사 '윤복진' 미공개 자료 나와"""
673,행복진흥원 초대 원장에 정순천 전 의원 내정(종합)
674, 동구 치매우수기관 보건복지부 장관 표창 수상
675,14호 태풍 '난마돌' 오전 10 부산 오전 11  낮 12 포항 최근접
676,[무등의 아침] 112년 만의 특별한 추모제…에서 잊힌 광주·전남 애국지사
677, 신천서 수영대회·강수욕장 등 수변공원화
678, 달서구 주민 100여명 청사부지 매각 철회 촉구 집회
679,신규 확진… 2132명·경북 2537명
680, 대학생 학자금대출 부담경감 지원사업 실
681, 신천수변화 공원 전략 발표
682,신규 확진  2132명·경북 2537명
683,김완섭 기획재정부 예산실장  주요사업 현장방문
684,DGB은행 즐겨 쓰는 영역 할인해 주는 'DGB i 카드' 출
685,""" 음식 트롯 노래로 알려요"""
686,지법 내연남 성폭력 무고 여성 집유·사회봉사
687,우동기 가톨릭대 총장 퇴임
688,산림치유원·한의대 치유산업 발전 위한 업무협약
689, 중구 '스트리트모터페스티벌'
690,배광식  북구청장 KoCACA 문화예술상 특별공로상
691," 이슬람사원 건축주 대법서도 승소…주민들 ""행정 잘못 때문"" 반발"
692,·경북 가끔 구름 많고 일교차 커… 낮 25도
693,[심층] 1년 만에야···가스공사 농구단- 연고 협약
694, '행복진흥원' 초대원장 정순천 내정자 발표
695, 무료 인플루엔자 예방접종 21일부터
696,'군위 편입' 국힘 주호영 원내대표 중재 도
697,조명희 의원  동구 첨복단지에 '상급종합병원' 필요
698,무역협회  수출 18개월 연속 성장세
699,[심층]  위원회 50여 개 폐지···공무원 책임감 높이기 위해?
700,‘제22회 국제식품산업전’ 22~25일 엑스코 서관서 개최
701, 2022 스트리트모터페스티벌 개막!
702, 1828명 신규 확진 4명 사망…감소세 지속
703, 자동차부품기업 테크쇼로 위기 극복
704, 중구 '2022 스트리트모터페스티벌'행사 개최
705,동부경찰서 제10기 민경찰학교 개교
706, 2021명 코로나19 확진…사망자는 1명
707, 10가지 대표 음식 트롯으로 홍보한다
708,[테크코리아 우리가 이끈다]디지털혁신진흥원
709,전국영농학생축제 농업마이스터고  대표 참가
710,[테크코리아 우리가 이끈다]디지털혁신진흥원
711,10미 알릴 트로트 ‘의 맛’ 음원 출…미스트롯 김나희 불러
712,전국영농학생축제 농업마이스터고  대표 참가
713,한국가스공사 농구단 와 연고 협약
714,김완섭 기획재정부 예산실장  주요사업 현장방문
715,코레일 경북본부 'ESG경영 탄소중립 합동 캠페인'개최
716, 지역 생활체육인들 우정과 화합 다진다
717,[동정] 홍준표 장  최대 정수장 방문
718,김완섭 기재부 예산실장  주요사업 현장 둘러봐
719, 치안 더 안전하고 촘촘하게 만든다
720,"국방부 장관 "" 군부대 이전 검토하겠다"""
721,K막걸리 생탁 비수도권 최대규모 식품대전 ‘국제식품산업전’ 참가
722, 수성구 조정대상지역 해제
723,의회 정 견제작…기금폐지 한기구 설치안 등 줄줄이 심사보류
724, 이슬람사원 건축주 대법서 최종 승소
725,프로농구 가스공사 와 19일 연고 협약식
726,10미 를 알릴 K트롯 가요 의 맛 음원 출
727, 달서구 이야기가 있는 코딩 참여자 모집
728,'제22회 국제식품산업전' 경북도 내 농산물가공경영체 12개 업체 참여
729, 남구 치매극복 건강한마당 개최
730,교육청 전국영농학생축제 참가
731, 남구 치매극복 건강한마당 개최
732,군위  편입 9월 안건상정 불발…속 타는 ·군위
733, 수성경찰서 '를 부르다' 콘서트로 사기 예방 홍보
734,이정선 교육감 남도 의병 순국 감옥 참배
735,홍준표 장 민 삶의 가치변화에 맞는 도심하천 패러다임 변화 추...
736,DGB은행 DGB i 카드 출
737, 2612명 신규 확진 전주 대비 24.6% 감소…사망 5명 추가
738,서 헤어진 여친 스토킹 혐의로 30대 입건
739,교육청 제86회 전국도교육감협의회 총회 개최
740,생탁 비수도권 최대 규모 식품대전 '국제식품산업전' 참가
741, 자동차부품기업 테크쇼로 위기 극복
742,교육청 지역 장애학생 258명 대상 대학생활 체험 운영
743,LH 경북지역본부 경북도민 디지털 역량 발전 협약 체결
744, 수성구·포항 남구 조정대상지역 해제
745,민단체 반대에도  민원탁회의 8년 만에 의회서 폐지 가결
746,TBC)2022 스트리트 모터페스티벌 3년 만에 열려
747,가스공사-  정착 위한 연고 협약 맺다
748, 1828명‧경북 1752명 확진…울릉 이틀째 확진자 없어(종합)
749,'2022 민생활체육대축전' 24~25일 개최
750,제22회 국제식품산업전 개최
751,신공항과 함께  편입 새 대로… 꼭! 올해 뚫는다 국회의 벽[자치분권 ...
752,'발목 부상→1군 말소' 360홈런 리빙 레전드가 인천과 에 나타난 이유는 
753,보건대-거창도립대 대학 원격교육지원 활성화 '맞손'
754, 달서구 이곡1동 ‘아낌없이 주는 나무’사업
755, 북구 자율방범대 초소 수선비 100만원 지원
756, 아파트 낙찰가율 80%선 붕괴 초읽기…저가 매수 행렬 이어질까 [심은지의...
757,송석균 가톨릭대병원 교수 '생애 첫 연구사업' 선정
758,케이메디허브 ㆍ경북 신약개발 위한 연구회 개최
759,런던 심포니 오케스트라 다음 달 11일  최초 공연
760,케이메디허브 ㆍ경북 신약개발 위한 연구회 개최
761,교육청 장애학생 대학생활 체험 프로그램 운영
762, 9월 21일부터 인플루엔자 예방 접종
763,한국가스공사 농구단 와 연고지 협약
764,지검 거액 외환 거래 수사…우리은행 본점 압수수색
765,가톨릭대 '2022 DCU  리크루트 투어' 개최
766, 주거 취약가구에 안심홈 세트 확대 지원 박차
767, 안지랑곱창골목 상생 축제로 ‘골목상권 활력’
768,"보건대 안경광학과 ""국내 안경광학의 역사 출신 안경사들 세계 도처서 활..."
769,-광주 청년들 광주청년주간 함께 빛낸다
770, 주거 취약가구에 안심홈 세트 확대 지원 박차
771,지검 거액 외환 거래 수사…우리은행 본점 압수수색
772,더불어민주당 당 “홍준표 장과 국힘당 정신 차려라”
773,-광주 청년들 광주청년주간 함께 빛낸다
774, 안지랑곱창골목 상생 축제로 ‘골목상권 활력’
775,이만규 의회 의장 ·도의회 ‘3급 직위’ 신설 건의
776,‘트윈데믹 대비’  독감 무료 접종 21일부터 작
777,홍준표 장 가스공사 우승 위해 행정 지원 약속하다
778, 달성니어클럽 반찬전문점 '비슬애 찬'가창점 개소
779,한국가스공사 페가수스 프로농구단 에서 힘찬 비상 1년만에 협약식 개최
780,혁신센터 C-Lab 우수 스타트업 발굴하는 명품 프로그램으로 자리매김
781,교육청 '장애학생 대학생활 체험 프로그램' 운영
782, 이슬람사원 관련 소송…건축주 최종 승소
783,GS건설  '대명자이 그랜드티' 내달 분양
784,‘ 수성못페스티벌’ 오는 23일부터 사흘간 개최
785,“정치 논리로 31년 공공연구기관 없애나?”…경북연구원 분리 놓고 소속...
786,'불맛' 더해진 고소한 맛 '뽈구이 맛'
787, 9월 분양장 '암울'…분양전망지수 40선 아래로 급추락
788,스트리트모터페스티벌 24~25일 남산동 자동차부속골목에서 개최
789,문화예술진흥원장 공개모집 재공고
790,솔울컴퍼니  달서구에 이웃사랑 후원품 전달
791,[오늘의 날씨]·경북(20일화)…기온 뚝 낮 24도 동해 35~110㎞ 강풍
792,김진열 군위군수 군위군 편입 위해 주말도 반납한 투혼
793,"[의회] 이만규 의장 ""3급 직위 신설 집행부 견제·균형 위해 꼭 필요"""
794,교육청 학교 주변 유해업소 대상 합동 점검 실… '위반 사례 0건'
795,은행 내가 즐겨 쓰는 5개 영역 할인 카드 출
796,"""洪 장 답변 무성의"" 의회 볼멘소리"
797,인사말 하는 이만규 의회 의장
798,경주·포항 태풍 경보…·포항 오전 11·12 태풍 최근접
799, 5890억 규모 신천 '수변공원화' 계획 발표
800,경주·포항 태풍 경보…·포항 오전 11·12 태풍 최근접
801, 5890억 규모 신천 '수변공원화' 계획 발표
802,"'잔류와 강등 사이' FC…""원정경기 무승 징크스 깨라"""
803, 자치경찰위원회 세이프홈 지원 사업 확대 행
804,2분기 건설공사 계약액…↓·경북↑
805,청년·신혼부부 임대주택 22일부터 공급…·경북은 546호
806,'꿈을 향한 비상'  학교 밖 청소년 진로박람회
807,경일대 청년창업사관학교 청년주간 특별행사 열어
808, 내년도 유치원·초등·특수 교사 68명 선발
809,(사)전국건설기계 08W지회 적십자사에 달서구 취약계층을 위한 라면...
810, 내년도 유치원·초등·특수 교사 68명 선발
811,(사)전국건설기계 08W지회 적십자사에 달서구 취약계층을 위한 라면...
812, 채무 감축 위한 기금 폐지에 의회 '제동'
813,"·경북 주말 날씨 ""맑다가 흐려져"""
814,국제 바칼로레아 본부 회장단 외고 등 방문
815, 북구 洞 순회방문 주민과의 대화 종료
816,·한국가스공사 농구단 연고지 협약식 열려
817,이만규의회 의장 도의회 3급 직위 신설 전도사로 변신
818,가톨릭대 ‘2022 DCU  리크루트 투어’ 개최
819,서 저자 사인회 연 임은정 “포기 말고 계속 함께 가주길”
820,서 저자 사인회 연 임은정 “포기 말고 계속 함께 가주길”
821,가톨릭대 ‘2022 DCU  리크루트 투어’ 개최
822,'세금먹는 하마' ~부산고속도로…12년간 1조569억원 지급
823,에서 전국도교육감협의회 제86회 총회 개최
824,'편의점·배달앱 할인'…DGB은행 DGB i카드 출
825," 민주노총 ""尹 정부 반노동 정책 멈춰야"""
826, ' 10味'의 브랜드화 '의 맛' 트롯 제작
827,"""식품산업 트렌드 한눈에"" 국제산업전 엑스코서 열린다"
828, 도철도 순환선은 트램 아닌 AGT 경전철?
829,지방은 휘청…  미분양 7500가구 부산 해운대도 집값 하락 작
830,지방은 휘청…  미분양 7500가구 부산 해운대도 집값 하락 작
831,산단공 지역본부 자율형MC 3곳 산업단지의 날에 장관 표창
832,포항·경주 강풍주의보로 변경… 등 강풍특보 해제
833,영남이공대 상생축제  곱창골목서 열려
834,행복진흥원 원장에 정순천 전 의원 내정
835, 고교 운동부서 성추행 등 학교 폭력 신고…경찰 수사 중
836,"""23루 위기 잠재운 김민수의 활약이 결정적"" 이강철 감독 [오!쎈 ]"
837,칠곡·군위·상주·영천·의성 ' 軍부대 쟁탈전'
838,텅 비어가는  아파트 어쩌나…중견건설사 '초비상'
839,경북 8월 섬유수출 전년 대비 2% 증가
840,보건대 김영재 교수 '로또 6/45' 황금손 출연
841,티웨이항공  K-POP 콘서트 홍보···외국인 여행객 잡아라
842,의회 ‘기금 폐지 조례안’ 심사 보류
843, 중부서 범죄 예방환경 조성 사업 완료
844,'우리 집 사진첩 속 설공단의 옛 모습' 전
845, 한국가스공사 프로농구단 연고지 협약 체결
846,공업대 헤어디자인과 '왁싱 프로그램' 교육
847,제34회  베이비＆키즈 페어
848, 신천서 커피 한 잔의 여유...'어린이 수영대회'도 연다
849,2022 ×청년 소셜리빙랩 최종공유회 개최
850,제34회  베이비＆키즈 페어
851,신규 확진  942명 경북 1084명
852,이만규 의회 의장 ·도의회 ‘3급 직위’ 신설 건의
853, 동구청 민안전테마파크 현장체험교육
854,대법  이슬람사원 ‘공사중지 취소’ 확정
855,코레일 경북본부 'ESG경영 탄소중립 합동 캠페인' 펼쳐
856,‘·경북 싱크탱크’ 경북연구원 31년 만에 분리
857,의회 공공설관리공단 이사장·교통공사 사장 인사청문회
858, 제8회 청년주간 개최…15일부터 18일까지
859,농협 고향사랑기부제 답례품 공급 농특산물 판매촉진 기대
860,한의대 청소년교육상담학과와 반려동물보건학과 치유도우미견과 함께하는...
861,GS건설  '대명자이 그랜드티' 내달 분양예정…2023가구
862,김완섭 기획재정부 예산실장  주요사업 현장방문
863,경북연구원 31년 만에 2개 연구원으로 분리
864,"홍준표·안철수 서 회동…""당 빨리 정상화돼야"" 공감"
865,동부경찰서 제10기 민경찰학교 개교
866,제34회  베이비＆키즈 페어
867, 안심 홈세트 지원 확대 … 치안 강화 '앞장'
868,영남이공대 교육청 일학습병행 우수협력기관 선정
869,9월 3주  아파트 전셋값 0.31%↓…역대 최대 낙폭
870,[심층] 군위  편입 물 건너갔나?···행안위 소위 상정 안 돼
871,행복진흥사회서비스원장 내정? 재공모?…막바지 산하기관 인사 '관심'
872,"경북연구원 노조 ""연구원 분리 및 해산 반대"""
873,동부도서관 한국학술정보협의회 국회의장상 수상
874,이정선 광주교육감 남도 의병 순국현장 감옥 참배
875,"""·경북 통합 신공항 대형 항공기 뜬다"""
876, 서구 학교밖청소년지원센터 2022년 검정고 100% 합격
877,설공단 메타버스로 '옛날 사진 공모전' 개최
878,코레일유통 경북본부 ESG 가치 확산 '탄소중립 캠페인' 참여
879, 가을철 진드기·설치류에 의한 발열성 감염병 주의 당부
880, 가을철 진드기·설치류에 의한 발열성 감염병 주의 당부
881, 중구 스트리트모터페스티벌 개최
882,보건대학교-경남도립거창대학 원격교육지원 활성화 업무협약
883," 민주노총 ""윤석열 정부 반노동 정책 멈춰야"""
884,코레일유통 경북본부 지역사회와 'ESG 가치 확산' 협력 강화
885,보건대 치기공학과 치과기공사 국가고 최고점수 및 전국 수석 기염 토...
886,배광식  북구청장 문화예술회관연합회 특별공로상
887,"홍준표·안철수 서 회동…""당이 빨리 정상화돼야"" 한 목소리"
888,프로농구 한국가스공사 창단 1년 만에 와 연고 협약
889,교통공사 '대한민국 안전大전환'기간 맞아 취약설 집중안전점검 실
890,프로농구 한국가스공사 창단 1년 만에 와 연고 협약
891,교통공사 '대한민국 안전大전환'기간 맞아 취약설 집중안전점검 실
892,[프로야구 전적] kt 9-7 삼성
893,송석균 가톨릭대병원 교수 '생애 첫 연구사업' 선정
894,[동정] 홍준표 장
895,'깊어가는 가을' 전국 맑고 큰 일교차…아침 서울 14도· 11도
896,경로당광역지원센터 경로당 건강주치의사업 실
897,"김진열 군위군수 ""편입 기 더 이상 늦출 수 없다"""
898,이찬원 24일  수성못페스티벌 선다
899, 첫 '화학물질 안전관리 조례안' 서구 상임위 통과
900,[오늘 날씨] ·경북 청명한 가을날씨…낮 최고 28도
901,경북 12개업체 국제식품산업전 참가해 제품 우수성 홍보
902,보훈청 제대군인 '중장비 운전 실무' 작
903,보건대 언어치료학과 예비 언어재활사 선서식 개최
904,서 음주운전 승용차 분식점 돌진…7명 부상
905,경북연구원 31년 만에 2개 연구원으로 분리… 자체 연구원 추진
906, 2477명 코로나19 확진…사망자는 5명
907, 김완섭 기재부 예산실장… 주요 사업 현장 방문해
908,비수도권 최대 규모 식품 박람회 ‘국제식품산업전’ 가보니
909,법적 다툼 끝났지만…  이슬람사원 신축 갈등은 ‘진행형’
910,비수도권 최대 규모 식품 박람회 ‘국제식품산업전’ 가보니
911,법적 다툼 끝났지만…  이슬람사원 신축 갈등은 ‘진행형’
912,신규 확진… 2612명·경북 2080명
913,주민들 치유의 간…최계란선생 아리랑축제
914,' 군부대 통합 이전' 최소 330만㎡ 필요…규제·지장물 적을 곳 선호
915,'추분'····경북 구름 많고 일교차 커
916,[날씨] ·경북 내륙 중심 10도 이상 일교차…한낮 27도
917,DIP 콘텐츠페어 30일 개최...전·체험 콘퍼런스 등 다채로운 행사 마...
918,10미(味) 알릴 K트롯 가요 '의 맛!' 음원 출
919,"민노총 ""尹 정부 반노동정책 멈춰야""…24일 지역서 첫 秋鬪"
920,"민노총 ""尹 정부 반노동정책 멈춰야""…24일 지역서 첫 秋鬪"
921,배광식 북구청장 KoCACA특별공로상 수상
922,[포토]-가스공사 프로농구단 연고지 협약 체결
923, 글로벌 내륙수변도로 거듭난다
924,이정선 광주교육감 옛 감옥 방문 행보 '눈길'
925,"'생방송 오늘저녁' 맛있는 인생  경양식 돈가스 ""특제 소스로"""
926, 중구 '2022년 스트리트모터페스티벌' 개최
927,한의대 청소년교육상담학과와 반려동물보건학과 치유도우미견과 함께하는...
928,이번 ·경북 주말 날씨...맑은 가운데 낮과 밤 기온차 커
929,DGB은행 '즐겨 쓰는 5개 영역 할인' DGB i 카드 출
930,DGB은행 '즐겨 쓰는 5개 영역 할인' DGB i 카드 출
931,지역 우수 콘텐츠 한자리에
932, 동구막걸리문화축제 IN BULLODONG 개최
933,권大 수 경쟁률 양극화…국립대·의학계열 쏠림 심화
934,문화예술진흥원 원장 재공모
935,한국가스공사 와 연고지 협약 체결…1년 만에 보금자리 마련
936, '취약계층' 비대면 아동급식지원 플랫폼 구축 나서
937,지방보훈청 김천사랑상품권 후원
938, “대학생 학자금대출 이자 부담 덜어드려요”
939, 수성구청.(주)청소하는 마을 해충방역 업무협약 체결
940, 동부경찰서Bright 공원조성을 위한 민·경 합동순찰
