,title
107,오페라축제 58일간 대장정 돌입…개막작 '투란도트'
108," 노동단체 전국동다발 노동자대회 개최…""정부 노동 정책 규탄"""
109, 10가지 대표 음식 트롯으로 홍보한다
110,[] 비수도권 최대 규모 ' 국제식품산업전' 개최
111,정은주-링크맨 2022 포크페스티벌 출연
112,정순천 전 의원 행복진흥원 초대 원장 내정
113, 9월 26일부터 실외 마스크 착용 자율 전환
114,오페라축제 개막…개막작 ‘투란도트’
115," 기후위기 비상행동 ""기후정의 행동 작할 것"""
116, 수성구 등 조정대상지역 해제…세종 제외 비수도권 전역 규제 풀렸다
117,보이스피싱 피해액  896억·경북 1331억
118,가톨릭대 2022 DCU  리크루트 투어 '인기'
119,행복진흥원장에 정순천 전 의원 내정
120,지검 우리은행 본점 압수수색…‘수상한 외화 송금’ 수사
121,'마스크 야외착용 해제' 앞둔 24일 ·경북 3240명 확진
122,문화예술진흥원장 다 공모… 반쪽짜리 출범 불가피
123,“튜닝카·수퍼카를 한자리에서”…서 스트리트모터페스티벌
124, 대학생 학자금대출 부담경감 지원 사업 추진
125," 인권단체들 ""인권위원회 폐지 철회·인권보장 책무 다하라"""
126,서 음주운전 수입 승용차 분식점 돌진…7명 부상
127, 1828명 코로나19 확진…사망자 4명
128,교육청 장애학생 진로 설계
129,[오늘의 날씨]·경북(23일 금)…낮 최고 28도 동해안 강풍 주의
130,[기고] 현대인 삶에 대한 여섯 가지 춤의 스펙트럼 '2022 춤페스티벌'
131,오페라축제 개막…개막작 ‘투란도트’
132,전국교육감협의회 총회 22일 서 개최…10개 안건 심의
133,·경북 대체로 맑음…낮 21~25도
134,'취업 잡고 인재 잡고'… 영진전문대 22~23일 '취업박람회'
135,"기후위기비상행동 ""기후재난 예방책 촉구"""
136,"민주 당 ""홍준표 장 즉흥 정책 철저 감"""
137, 남구 제6회 공룡을 그려보자 사생대회 개최
138,[]  도로교통공단·내비게이션 기업과 업무 협약
139, 10미 알릴 트로트 '의 맛' 음원 출
140, 남구 제6회 공룡을 그려보자 사생대회 개최
141,클래식 발레의 정수…국립발레단 '백조의 호수' 29~30일 서 공연
142,[]  도로교통공단·내비게이션 기업과 업무 협약
143,'군위  편입안' 행안위 소위 상정 불발
144,이정선 광주교육감 옛 감옥터 참배 눈길
145, 10미 알릴 트로트 '의 맛' 음원 출
146,의회 행정사무감사 민제보상황실 운영
147, 중구지역자활센터 전국 지역자활센터 성과평가서 우수기관 선정
148,세계 오페라의 진수 서 만끽하세요
149,정순천 전 의원 초대 행복진흥원 원장 선임
150,가을 58일간 는 오페라의 선율 바다
151,GS건설  '대명자이 그랜드티' 10월 분양
152,국민의힘 당 스마트 물산업 육성 방안 정책토론회 개최
153, 미래 융복합 첨단교통정보 서비스 촉진
154,"[]  군부대 이전 속도...""관·군 협의체 구성 예정"""
155,[i동네방네]는 젊은이 축제중
156, 2022 스트리트모터페스티벌 개최
157,인사말 하는 홍준표 장
158, 수성못 축제 사흘간 열려
159,-광주 청년들 달빛교류 이어간다 외 [소식]
160,인사말 하는 홍준표 장
161,-광주 청년들 달빛교류 이어간다 외 [소식]
162,'민원탁회의' 8년 만에 폐지
163,변화된 트렌드 한눈에…서 국제식품산업전 열려
164, 수성못 축제 사흘간 열려
165," ""미래 융복합 교통인프라 구축 및 서비스 추진 업무협약 체결한다"""
166,티웨이항공 외국인 대상 ' K-POP 콘서트' 티켓 제공
167,'군위  편입' 국민의힘 원내대표 29일 중재 도
168,'득녀' 두산 외인 스탁 29일까지 출산 휴가…30일  삼성전 선발 예정 [오...
169, '빛솔합창단' 제10회 전국 발달장애인 합창대회 대상
170, '빛솔합창단' 제10회 전국 발달장애인 합창대회 대상
171,2022 민생활체육대축전 개최
172,세종·인천 서·남동·연수구 투기과열 해제…부산··대전 조정지역 해제...
173,의회 행정사무 감사 민제보상황실 운영
174,교육청 '제86회 전국도교육감협의회 총회' 개최
175,초대 행복진흥원장에 정순천 前 의원 내정
176,제86회 전국도교육감협의회 총회 22일 서 개최
177,서 음주운전 승용차 분식점 들이받아…7명 부상
178, 도로교통공단-4개 지자체-민간기업 업무협약 체결
179,[동정] 강은희 교육감 2022 교육청 도서관축제 참석
180,전국 교육감들 획일적 주입식 교육 배격하는 IB학교 참관
181, '2022 스트리트 모터페스티벌' 개최
182, 지자체 첫 인권위 폐지…“인권행정 포기한 것”
183, 초·중·고 10곳 중 7곳 반경 1km 내 성범죄자 거주
184,생탁 22일부터 4일간 '국제식품산업전' 참가
185,'따뜻한 집 찾은' 프로농구 한국가스공사 와 연고 협약
186, 행복진흥원 원장에 정순천 전 의원 내정
187,'민생활체육대축전' 24일 팡파르
188,서 음주운전 승용차 분식점 돌진…7명 부상
189,인사말 하는 강은희 교육감
190,인사말 하는 강은희 교육감
191,전국도교육감협의회 '제86회 총회' 서 열려
192,17개 ·도 교육감 에 모인다…22일 총회
193,[포토] 경북농업기술원 제22회 국제식품산업전 참가
194,[동정] 홍준표 장 ‘2022 경북기자협회 체육대회’ 참석
195,"경북연구원 노조 ""연구원 분리 및 해산 반대"""
196, 노동자 대회 “노동간 유연화 막고 노조법 개정하라”
197, 수성못 주변 주상복합 취소 소송 수성구청 최종 승소
198,이정선 광주교육감 남도 의병 순국현장 감옥 참배
199,GS건설  '대명자이 그랜드티' 1501가구 분양
200,"서 만난 洪·安 ""당 운영이 기가 막혀"" ""같은 생각"""
201,"""31년 경북연구원 분리 반대"" 노조 반발"
202," 수성·포항 남구 조정대상지역 해제…""거래 숨통 기대"""
203,전국도교육감협의회 서 총회…지방교육재정교부금 특위 등 구성
204,'제19회  국제오페라 축제' 열려
205,서 근현대 문학의 향기를…'문학로드' 8개 코스로
206,"진보성향 교육단체 서 ""과도한 입경쟁 대학서열제 폐지해야"""
207," 군부대 이전 '청신호'···국방부 ""적극 검토"""
208,"홍준표-안철수 서 회동···""당이 빨리 정상화돼야"""
209,"""진작에 풀어주던가""…'미분양'  규제 해제에도 '큰둥'"
210,티웨이항공 외국인 대상 ' K-POP 콘서트' 홍보
211, 2132명 코로나19 확진…사망자 2명
212, 생활체육대회 24일부터…20개 종목에 민 3천명 참가
213,[경북 고교 재경총동창회 탐방] (6) 일제강점기  민 함께 세운 '대...
214,교육감들과 인사하는 홍준표 장
215, 북부서 지역경찰 대상 찾아가는 응급처치 교육 실
216,직업계고 부스 체험하는 지역 중학생들
217,“도심 하천에서 항상 물놀이를”… 신천 수변공원으로 조성
218,2위 서울·3위  다 제쳤다…'대한민국 도 브랜드평판' 대망의 1위는...
219, 세이프홈 지원 확대
220,직업계고 부스 체험하는 지역 중학생들
221,2위 서울·3위  다 제쳤다…'대한민국 도 브랜드평판' 대망의 1위는...
222, 세이프홈 지원 확대
223, 특수학급 연합 '빛솔합창단' 전국 합창대회 대상
224,[24] -광주 청년 광주청년주간서 '달빛교류 빛낸다'
225, 제22회 국제식품산업전 개최
226,행복진흥원 초대원장에 정순천 전 의원 내정
227, 스트리트 모터 페스티벌 쇼 개최
228,'다 함께 걷다'… 수성못페스티벌 23~25일 개최
229, 빛솔합창단 전국 발달장애인 합창대회 대상 수상
230, 빛솔합창단 전국 발달장애인 합창대회 대상 수상
231, '2022 민생활체육대축전’개최
232, 1592명 신규 확진 전주 대비 35.5% 감소…사망 2명 추가
233,행복진흥원 초대 원장에 정순천 전 의원
234,의회 행정사무 감사 민제보 접수
235,초고층 주상복합 '역 센트레빌 더 오페라' 30일 견본주택 개관
236, 달서구 빌라 3층서 불…1명 부상‧8명 대피
237,[오늘 날씨] ·경북 맑고 선선…나들이 최적
238,[이주의 카드] 신협 DGB은행
239,[소식] 중부소방서 관계인 소방훈련 경진대회 우수대상 표창 수여 등
240,[소식] 중부소방서 관계인 소방훈련 경진대회 우수대상 표창 수여 등
241,지역 롯데백화점 야외활동 관련 상품군 강화
242,신규 확진  1436명·경북 1627명
243,의회 공공기관장 후보자 청문회 실
244,세무사회 태풍피해 이재민 성금 전달
245, 제22회 국제식품산업전 개최
246,정순천 전 의원 행복진흥원장 내정
247,""" 군부대 오라"" 칠곡 민간 조직 꾸려…군위·상주·영천도 유치전"
248,환경청 낙동강 조류경보 발령
249,의회 '민제보 상황실' 운영…행정감사 대비
250,'2022 민생활체육대축전' 개최
251,"""480명 대피 조치""…북진하는 태풍 '난마돌' 오전 11  최근접"
252,환경청 낙동강 칠곡보·강정고령보에 조류 경보 '관심' 단계 발령
253, 군부대 이전 급물살… 칠곡·군위·영천·상주 ‘러브콜’
254, 자치경찰위 세이프 홈 세트 지원·치안 촘촘
255, 동구청 민안전테마파크 현장체험교육 실
256,교육청 학교주변 유해업소 점검·단속
257, 10미(味) 트로트로 제작됐다
258,“ 신천에서 ‘강수욕’ 즐겨볼까”
259,2022  콘텐츠페어 개막
260,코로나가 바꾼 식품 트렌드 한눈에…국제식품산업전
261,TK신공항 건설 올인하는 
262,'추분' ·경북 구름 많고 포근···낮 최고 23~28도
263, 소비재 제품 호찌민 홍보행사에 1천200여명 방문
264,[포토] 문도엽 ' 경북 골프팬들의 응원에 화답'
265,[단독] ‘당심 잡기’ 나선 안철수 서 홍준표 장 만난다
266,2022  스트리트 모터 페스티벌 개최
267,영남대병원  첫 하이브리드 스텐트 그라프트 대동맥 수술 행
268,“ 공공기관장 내정자 철저 검증 촉구”
269,한국법무보호복지공단 지부 법무보호대상자 위한 '2022 취업박람회' 개최
270,한국법무보호복지공단 지부 법무보호대상자 위한 '2022 취업박람회' 개최
271,국내 유일 길거리 모터쇼 ‘스트리트모터페스티벌’ 3년 만에 개최
272,  민생활 체육 대축전 개최
273,도 농업인의 축제…도농업박람회 30일부터 나흘간 개최
274,신규 확진… 1436명·경북 1627명
275, 국제 식품산업전 달빛동맹 교류의 장으로
276, 미래 융복합 교통정보 서비스 촉진
277,교육청 직업교육 박람회 '특ㆍ마 Festival' 개최
